COUNTY,BIDEN,TRUMP
Appling,1779,6526
Atkinson,825,2300
Bacon,625,4018
Baker,652,897
Baldwin,9140,8903
Banks,932,7795
Barrow,10453,26804
Bartow,12091,37673
Ben Hill,2392,4110
Berrien,1268,6409
Bibb,43234,26506
Bleckley,1311,4328
Brantley,699,6991
Brooks,2790,4260
Bryan,6739,14244
Bulloch,11243,18386
Burke,5209,5400
Butts,3271,8403
Calhoun,1260,923
Camden,7967,15251
Candler,1258,3129
Carroll,16238,37476
Catoosa,6932,25167
Charlton,1102,3419
Chatham,78181,53191
Chattahoochee,667,880
Chattooga,1854,8064
Cherokee,42683,99474
Clarke,35969,14412
Clay,790,637
Clayton,94365,15671
Clinch,747,2105
Cobb,221730,165178
Coffee,4463,10532
Colquitt,4185,11776
Columbia,29236,50013
Cook,2059,4900
Coweta,24210,51501
Crawford,1615,4428
Crisp,2986,4987
Dade,1261,6066
Dawson,2486,13393
Decatur,4780,6758
DeKalb,306987,58170
Dodge,2170,5839
Dooly,1911,2159
Dougherty,24540,10446
Douglas,42609,25308
Early,2437,2719
Echols,167,1256
Effingham,7720,23357
Elbert,2879,6226
Emanuel,2884,6551
Evans,1324,2888
Fannin,2571,12144
Fayette,31863,36316
Floyd,10959,27059
Forsyth,42177,85081
Franklin,1593,9069
Fulton,379095,136716
Gilmer,2905,13382
Glascock,155,1403
Glynn,15879,25616
Gordon,4384,19405
Grady,3608,7027
Greene,4088,7068
Gwinnett,241420,166139
Habersham,3559,16616
Hall,25002,64105
Hancock,2985,1159
Haralson,1792,12331
Harris,5457,14319
Hart,3157,9464
Heard,824,4516
Henry,73276,48187
Houston,32232,41534
Irwin,1008,3134
Jackson,7642,29497
Jasper,1761,5822
Jeff Davis,1028,4695
Jefferson,4061,3537
Jenkins,1266,2161
Johnson,1222,2850
Jones,4888,9965
Lamar,2612,6322
Lanier,1019,2509
Laurens,8048,14479
Lee,4558,12007
Liberty,13051,7944
Lincoln,1432,3175
Long,2033,3528
Lowndes,20117,25691
Lumpkin,3122,12160
Macon,2857,1783
Madison,3365,11146
Marion,1311,2275
McDuffie,4168,6169
McIntosh,2612,4016
Meriwether,4287,6524
Miller,749,2066
Mitchell,3995,4935
Monroe,4384,11060
Montgomery,976,2959
Morgan,3355,8228
Murray,2302,12943
Muscogee,49425,30018
Newton,29781,23867
Oconee,8160,16594
Oglethorpe,2435,5591
Paulding,29658,54460
Peach,5920,6502
Pickens,2808,14075
Pierce,1099,7899
Pike,1503,9124
Polk,3658,13589
Pulaski,1217,2805
Putnam,3448,8291
Quitman,497,604
Rabun,1984,7474
Randolph,1671,1391
Richmond,58776,26707
Rockdale,31243,13012
Schley,462,1800
Screven,2661,3915
Seminole,1251,2607
Spalding,11784,18057
Stephens,2385,9368
Stewart,1182,801
Sumter,6318,5732
Talbot,2113,1390
Taliaferro,561,360
Tattnall,2059,6048
Taylor,1387,2418
Telfair,1480,2822
Terrell,2376,2004
Thomas,8708,12954
Tift,5322,10784
Toombs,2939,7872
Towns,1550,6384
Treutlen,952,2101
Troup,11585,18146
Turner,1410,2349
Twiggs,2040,2368
Union,2801,12651
Upson,4201,8602
Walker,5769,23174
Walton,12634,37617
Ware,4249,9930
Warren,1488,1177
Washington,4730,4663
Wayne,2687,9987
Webster,639,748
Wheeler,688,1583
White,2411,12222
Whitfield,10670,25636
Wilcox,862,2403
Wilkes,2159,2823
Wilkinson,2075,2664
Worth,2395,6826