Name,Rank,Height,Hght,Floors,Year,Address,lat,lon
One World Trade Center,1,1776,541,104,2014,285 Fulton Street,40.713055555555556,-74.01361111111112
Central Park Tower*,2,1550,472,98,2020,225 West 57th Street,40.76583333333333,-73.98083333333334
111 West 57th Street*,3,1428,435,84,2020,111 West 57th Street,40.76444444444444,-73.97777777777777
One Vanderbilt,4,1401,427,67,2020,One Vanderbilt Avenue,40.753055555555555,-73.9786111111111
432 Park Avenue,5,1396,426,88,2015,432 Park Avenue,40.76138888888889,-73.97194444444445
30 Hudson Yards,6,1268,386,101,2019,West 33rd Street & Tenth Avenue,40.75361111111111,-74.00305555555556
Empire State Building,7,1250,381,102,1931,350 Fifth Avenue,40.748333333333335,-73.98555555555555
Bank of America Tower,8,1200,366,55,2009,1101 Sixth Avenue,40.75527777777778,-73.98416666666667
3 World Trade Center,9,1079,329,80,2018,175 Greenwich Street,40.71083333333333,-74.01166666666667
53W53,10,1050,320,77,2019,53 West 53rd Street,40.76166666666666,-73.97833333333334
Chrysler Building,11,1046,319,77,1930,405 Lexington Avenue,40.751666666666665,-73.97527777777778
The New York Times Building,11,1046,319,52,2007,620 Eighth Avenue,40.756388888888885,-73.99
35 Hudson Yards,13,1009,308,72,2019,532-560 West 33rd Street,40.754444444444445,-74.0025
One57,14,1004,306,73,2014,157 West 57th Street,40.765277777777776,-73.97916666666667
1 Manhattan West,15,995,303,67,2019,401 Ninth Avenue,40.75194444444445,-73.99777777777778
4 World Trade Center,16,978,298,74,2013,150 Greenwich Street,40.71027777777778,-74.01194444444444
220 Central Park South,17,953,290,69,2019,220 59th Street,40.76722222222222,-73.98027777777779
70 Pine Street,18,952,290,67,1932,70 Pine Street,40.70638888888889,-74.00777777777778
Four Seasons Hotel New York Downtown,19,937,286,82,2016,27 Barclay Street,40.713055555555556,-74.00944444444444
40 Wall Street,20,927,283,71,1930,40 Wall Street,40.706944444444446,-74.00972222222222
Citigroup Center,21,915,279,63,1977,601 Lexington Avenue,40.75861111111111,-73.97027777777778
15 Hudson Yards,22,912,278,70,2019,West 30th Street & Eleventh Avenue,40.75472222222222,-74.00305555555556
125 Greenwich Street*,22,912,278,72,2020,125 Greenwich Street,40.70916666666667,-74.01277777777777
425 Park Avenue*,24,897,273,41,2020,425 Park Avenue,40.760555555555555,-73.97111111111111
10 Hudson Yards,25,878,268,52,2016,501 West 30th Street,40.7525,-74.00111111111111
8 Spruce Street,26,870,265,76,2011,8 Spruce Street,40.71083333333333,-74.00555555555556
Trump World Tower,27,861,262,72,2001,845 United Nations Plaza,40.75222222222222,-73.96777777777778
30 Rockefeller Plaza,28,850,259,70,1933,30 Rockefeller Plaza,40.75888888888889,-73.97888888888889
One Manhattan Square,29,847,258,72,2019,250 South Street,40.71027777777778,-73.99138888888889
56 Leonard Street,30,821,250,57,2016,56 Leonard Street,40.717777777777776,-74.00638888888889
CitySpire Center,31,814,248,75,1987,156 West 56th Street,40.76444444444444,-73.97972222222222
28 Liberty Street,32,813,248,60,1961,28 Liberty Street,40.70777777777778,-74.00888888888889
4 Times Square,33,809,247,48,1999,1472 Broadway,40.755833333333335,-73.98583333333333
MetLife Building,34,808,246,59,1963,200 Park Avenue,40.75333333333333,-73.97666666666667
731 Lexington Avenue,35,806,246,54,2004,731 Lexington Avenue,40.761944444444445,-73.96805555555555
138 East 50th Street,36,803,245,64,2019,138 East 50th Street,40.755833333333335,-73.97194444444445
130 William Street*,37,800,244,66,2020,130 William Street,40.70638888888889,-74.00777777777778
126 Madison Avenue*,37,800,244,62,2021,15 East 30th Street,40.745555555555555,-73.98527777777778
Woolworth Building,39,792,241,57,1913,233 Broadway,40.71222222222222,-74.00805555555556
111 Murray Street,39,792,241,58,2018,111 Murray Street,40.71555555555556,-74.01277777777777
520 Park Avenue,41,781,238,54,2018,520 Park Avenue,40.76416666666667,-73.97
50 West Street,42,779,237,64,2018,50 West Street,40.70805555555556,-74.015
One Worldwide Plaza,43,778,237,47,1989,825 Eighth Avenue,40.7625,-73.98777777777778
55 Hudson Yards,43,778,237,51,2019,550 West 34th Street,40.75555555555555,-74.00277777777778
Skyline Tower*,43,778,237,67,2021,23-15 44th Drive,40.75055555555556,-73.93611111111112
Madison Square Park Tower,46,777,237,64,2017,45 East 22nd Street,40.74,-73.98722222222223
19 Dutch,47,758,231,63,2019,19 Dutch Street,40.709722222222226,-74.00972222222222
Carnegie Hall Tower,48,757,231,60,1991,152 West 57th Street,40.764722222222225,-73.97972222222222
383 Madison Avenue,49,755,230,47,2001,383 Madison Avenue,40.75555555555555,-73.97694444444444
29-37 41st Avenue,50,755,230,67,2021,Queens Plaza Park,40.75,-73.9363888888889
1717 Broadway,51,754,230,68,2013,1717 Broadway,40.76444444444444,-73.9825
AXA Equitable Center,52,752,229,54,1986,787 Seventh Avenue,40.76166666666666,-73.98166666666667
1251 Avenue of the Americas,53,750,229,54,1971,1251 Sixth Avenue,40.76,-73.98138888888889
One Penn Plaza,53,750,229,57,1972,250 West 34th Street,40.75138888888889,-73.99305555555556
Time Warner Center North Tower,53,750,229,55,2003,10 Columbus Circle,40.76888888888889,-73.98305555555555
Time Warner Center South Tower,53,750,229,55,2003,10 Columbus Circle,40.76833333333333,-73.98361111111112
200 West Street,53,750,229,44,2010,200 West Street,40.71472222222223,-74.01416666666667
One Astor Plaza,58,745,227,54,1972,1515 Broadway,40.75805555555556,-73.9863888888889
60 Wall Street,58,745,227,55,1989,60 Wall Street,40.70638888888889,-74.00833333333334
One Liberty Plaza,60,743,226,54,1973,165 Broadway,40.709722222222226,-74.01138888888889
7 World Trade Center,60,743,226,52,2006,250 Greenwich Street,40.71333333333334,-74.01194444444444
20 Exchange Place,62,741,226,57,1931,20 Exchange Place,40.705555555555556,-74.00972222222222
200 Vesey Street,63,739,225,51,1986,200 Vesey Street,40.71361111111111,-74.01472222222222
ARO,64,738,225,62,2018,242 West 53rd Street,40.76361111111111,-73.98416666666667
1540 Broadway,65,733,223,42,1990,1540 Broadway,40.75805555555556,-73.98472222222222
3 Manhattan West,66,730,223,62,2017,401 West 31st Street,40.75194444444445,-73.99777777777778
Times Square Tower,67,726,221,47,2004,7 Times Square,40.75555555555555,-73.98666666666666
Brooklyn Point*,68,720,219,68,2020,138 Willoughby Street,40.69027777777777,-73.98222222222222
Metropolitan Tower,69,716,218,68,1985,146 West 57th Street,40.765,-73.97916666666667
252 East 57th Street,70,715,218,65,2017,252 East 57th Street,40.75944444444445,-73.96638888888889
100 East 53rd Street,71,711,217,63,2017,100 East 53rd Street,40.75833333333333,-73.9713888888889
270 Park Avenue,72,707,215,52,1960,270 Park Avenue,40.755833333333335,-73.97527777777778
General Motors Building,73,705,215,50,1968,767 Fifth Avenue,40.763888888888886,-73.9725
25 Park Row*,74,702,214,54,2020,25 Park Row,40.71138888888889,-74.00722222222223
Metropolitan Life Insurance Company Tower,75,700,213,50,1909,1 Madison Avenue,40.74111111111111,-73.9875
500 Fifth Avenue,76,697,212,59,1931,500 Fifth Avenue,40.75388888888889,-73.98138888888889
Americas Tower,77,692,211,48,1992,1177 Sixth Avenue,40.757222222222225,-73.98277777777778
Solow Building,78,689,210,49,1974,9 West 57th Street,40.763888888888886,-73.97472222222223
140 Broadway,79,688,210,52,1967,140 Broadway,40.70861111111111,-74.01
277 Park Avenue,80,687,209,50,1963,277 Park Avenue,40.75555555555555,-73.97527777777778
55 Water Street,80,687,209,53,1972,55 Water Street,40.70333333333333,-74.00916666666667
5 Beekman Street,80,687,209,47,2015,5 Beekman Street,40.711111111111116,-74.00694444444444
Morgan Stanley Building,83,685,209,42,1989,1585 Broadway,40.76027777777778,-73.98555555555555
Penguin Random House Tower,84,684,208,52,2003,1745 Broadway,40.765277777777776,-73.9825
Four Seasons Hotel New York,85,682,208,52,1993,57 East 57th Street,40.76222222222222,-73.9713888888889
Sky,86,676,206,61,2015,605 West 42nd Street,40.76138888888889,-73.99861111111112
1221 Avenue of the Americas,87,674,205,51,1972,1221 Sixth Avenue,40.759166666666665,-73.98166666666667
One Grand Central Place,88,673,205,53,1930,60 East 42nd Street,40.75222222222222,-73.97888888888889
One Court Square,88,673,205,50,1990,"2501 Jackson Avenue, Long Island City",40.746944444444445,-73.94388888888889
Barclay Tower,88,673,205,56,2007,10 Barclay Street,40.71222222222222,-74.00916666666667
277 Fifth Avenue,88,673,205,55,2019,277 Fifth Avenue,40.745555555555555,-73.9863888888889
Paramount Plaza,92,670,204,48,1970,1633 Broadway,40.76222222222222,-73.98444444444445
161 Maiden Lane*,92,670,204,60,2020,161 Maiden Lane,40.705555555555556,-74.00472222222223
200 Amsterdam*,94,668,204,55,2020,200 Amsterdam Avenue,40.776666666666664,-73.98333333333333
45 Park Place*,95,667,203,43,2020,45 Park Place,40.71361111111111,-74.01
Trump Tower,96,664,202,58,1982,725 Fifth Avenue,40.7625,-73.9738888888889
1 Wall Street,97,654,199,50,1932,1 Wall Street,40.70722222222223,-74.01166666666667
599 Lexington Avenue,98,653,199,51,1986,599 Lexington Avenue,40.757777777777775,-73.97083333333333
Silver Towers I,98,653,199,58,2009,620 West 42nd Street,40.76083333333333,-73.99916666666667
Silver Towers II,98,653,199,58,2009,620 West 42nd Street,40.76083333333333,-73.99916666666667
712 Fifth Avenue,101,650,198,53,1990,712 Fifth Avenue,40.76222222222222,-73.97500000000001
Chanin Building,102,649,198,56,1929,122 East 42nd Street,40.75111111111111,-73.97555555555556
245 Park Avenue,103,648,198,47,1967,245 Park Avenue,40.755,-73.97500000000001
550 Madison Avenue,104,647,197,37,1983,550 Madison Avenue,40.76138888888889,-73.97333333333333
Tower 28,104,647,197,58,2016,"42-12 28th Street, Long Island City",40.74944444444444,-73.93972222222223
225 Liberty Street,106,645,197,44,1986,225 Liberty Street,40.712500000000006,-74.01527777777778
1095 Avenue of the Americas,107,644,196,43,1974,1095 Sixth Avenue,40.75472222222222,-73.98472222222222
General Electric Building,108,643,196,50,1931,570 Lexington Avenue,40.757222222222225,-73.97222222222223
1 New York Plaza,109,640,195,50,1969,1 Water Street,40.702222222222225,-74.01166666666667
Rose Hill*,110,639,195,45,2020,30 East 29th Street,40.744166666666665,-73.98472222222222
MiMA,111,638,194,63,2011,540 West 42nd Street,40.759166666666665,-73.995
One Dag Hammarskjöld Plaza,112,637,194,48,1972,885 Second Avenue,40.75361111111111,-73.97
345 Park Avenue,113,634,193,44,1969,345 Park Avenue,40.757777777777775,-73.9725
10 East 40th Street,114,632,193,48,1929,10 East 40th Street,40.751666666666665,-73.98138888888889
"The Langham, New York",114,632,193,59,2010,400 Fifth Avenue,40.75,-73.98361111111112
Home Insurance Plaza,116,630,192,44,1966,59 Maiden Lane,40.70861111111111,-74.00777777777778
W. R. Grace Building,116,630,192,50,1972,1114 Sixth Avenue,40.75472222222222,-73.9825
W New York Downtown Hotel and Residences,116,630,192,57,2010,8 Albany Street,40.70916666666667,-74.01388888888889
101 Park Avenue,119,629,192,49,1982,101 Park Avenue,40.75138888888889,-73.97777777777777
888 7th Avenue,120,628,191,45,1971,888 Seventh Avenue,40.765277777777776,-73.98083333333334
Central Park Place,120,628,191,56,1988,301 West 57th Street,40.76694444444444,-73.98305555555555
Waldorf Astoria New York,122,625,191,47,1931,301 Park Avenue,40.756388888888885,-73.97416666666666
1345 Avenue of the Americas,122,625,191,50,1969,1345 Sixth Avenue,40.76305555555555,-73.97888888888889
Trump Palace Condominiums,124,623,190,54,1991,200 East 69th Street,40.7675,-73.96194444444444
One Madison,125,621,189,50,2010,23 East 22nd Street,40.74055555555556,-73.98805555555556
Olympic Tower,126,620,189,51,1976,641 Fifth Avenue,40.759166666666665,-73.97611111111111
11 Hoyt*,126,620,189,51,2020,11 Hoyt Street,40.69,-73.985
425 Fifth Avenue,128,618,188,55,2003,425 Fifth Avenue,40.75111111111111,-73.98222222222222
New York Life Building,129,615,187,33,1928,51 Madison Avenue,40.74277777777778,-73.98555555555555
919 Third Avenue,129,615,187,47,1970,919 Third Avenue,40.759166666666665,-73.96805555555555
Tower 49,129,615,187,44,1985,12 East 49th Street,40.757222222222225,-73.97694444444444
750 7th Avenue,129,615,187,35,1989,750 Seventh Avenue,40.76111111111111,-73.98388888888888
The Epic,129,615,187,61,2007,125 West 31st Street,40.74861111111111,-73.99
Eventi,134,614,187,54,2010,851 Sixth Avenue,40.74722222222222,-73.99027777777778
555TEN,135,612,187,53,2016,555 Tenth Avenue,40.75861111111111,-73.99638888888889
The Hub,136,610,186,54,2016,333 Schermerhorn Street,40.68722222222222,-73.98111111111112
Credit Lyonnais Building,137,609,186,46,1964,1301 Sixth Avenue,40.761944444444445,-73.97972222222222
Baccarat Hotel and Residences,138,605,184,48,2014,28 West 53rd Street,40.76083333333333,-73.9775
The Orion,139,604,184,60,2006,350 West 42nd Street,40.75833333333333,-73.9925
590 Madison Avenue,140,603,184,41,1983,590 Madison Avenue,40.76222222222222,-73.9725
250 West 55th Street,141,602,183,39,2013,250 West 55th Street,40.765,-73.98333333333333
Eleven Times Square,142,601,183,40,2011,11 Times Square,40.75666666666667,-73.98972222222223
1166 Avenue of the Americas,143,600,183,44,1974,1166 Sixth Avenue,40.75694444444444,-73.98194444444445