Sex,Age,Income,State
Female,003,9999999,Alabama
Female,020,0000000,Idaho
Male,025,0023000,New Jersey
Female,037,0000000,Oklahoma
Male,005,9999999,Kansas
Female,044,0031200,Mississippi
Male,015,0000000,Oregon
Male,010,9999999,Washington
Female,068,0020500,California
Male,057,0016700,Nevada
Female,024,0025000,California
Female,059,0016850,Idaho
Female,011,9999999,New Mexico
Female,051,0032000,North Carolina
Female,056,0020000,Florida
Male,043,0004000,Ohio
Male,059,0020000,Wisconsin
Male,022,0013600,Texas
Female,051,0008750,Arizona
Female,032,0000000,Kansas
Female,048,0091000,Michigan
Male,036,0020000,South Carolina
Male,040,0036350,Pennsylvania
Male,019,0002550,Pennsylvania
Male,075,0026100,Illinois
Female,070,0015800,Missouri
Female,046,0000000,New York
Female,002,9999999,Arkansas
Female,084,0007000,California
Female,059,0064000,Wisconsin
Female,023,0025030,Indiana
Female,009,9999999,Texas
Male,013,9999999,Pennsylvania
Male,000,9999999,Minnesota
Male,028,0100000,California
Male,035,0062000,Ohio
Male,048,0045000,Hawaii
Female,002,9999999,California
Male,063,0035200,Minnesota
Female,061,0027000,Ohio
Male,056,0018000,Illinois
Female,068,0022000,California
Male,037,0120000,Pennsylvania
Male,042,0016100,California
Female,028,0025000,Pennsylvania
Female,079,0016600,Virginia
Female,055,0025000,California
Female,019,0010500,North Carolina
Female,062,0043100,New York
Female,012,9999999,West Virginia
Female,052,0058000,Michigan
Male,078,0011000,South Carolina
Male,090,0171000,Ohio
Male,064,0021500,Missouri
Male,001,9999999,New Jersey
Male,019,0000000,New Jersey
Female,022,0005000,Kansas
Female,058,0024000,Pennsylvania
Male,035,0035110,Texas
Male,040,0036000,West Virginia
Male,027,0020000,Pennsylvania
Male,015,0000000,Ohio
Female,005,9999999,Colorado
Male,006,9999999,California
Male,054,0017200,Texas
Female,013,9999999,Texas
Male,005,9999999,Indiana
Male,030,0065000,North Carolina
Female,053,0000000,Michigan
Female,037,0016000,Indiana
Male,002,9999999,Utah
Male,070,0034500,Michigan
Male,036,0073000,California
Male,040,0020000,Florida
Female,044,0032700,Arizona
Male,068,0035900,Colorado
Female,073,0014100,Florida
Male,060,0000000,California
Female,001,9999999,California
Female,024,0001200,Idaho
Female,012,9999999,Texas
Male,045,0035000,Texas
Female,074,0012200,Texas
Female,057,0000000,Georgia
Male,023,0018000,Wisconsin
Male,073,0018000,Texas
Male,051,0046000,North Carolina
Male,013,9999999,Texas
Female,033,0030000,Washington
Male,037,0084000,Florida
Female,052,0014100,California
Male,009,9999999,New York
Male,017,0002500,Florida
Male,018,0001300,Massachusetts
Male,058,0163200,California
Male,062,0070000,Texas
Male,028,0021000,Indiana
Male,062,0260000,California
Female,065,0092000,Indiana
Female,072,0068400,Washington
Female,046,0043170,California
Female,043,0042000,Maryland
Female,031,0030800,Connecticut
Male,025,0000400,Pennsylvania
Male,058,0433000,South Carolina
Female,047,0003000,Tennessee
Male,014,9999999,Ohio
Male,013,9999999,New Jersey
Female,020,0010000,Tennessee
Male,022,0002000,Texas
Male,025,0018000,North Carolina
Female,070,0011200,Vermont
Male,013,9999999,New Jersey
Female,047,0030000,California
Male,015,0000100,Virginia
Female,062,0019800,Georgia
Female,040,0009000,Pennsylvania
Female,070,0010800,Oregon
Male,012,9999999,Ohio
Female,013,9999999,Indiana
Female,067,0021180,Texas
Female,009,9999999,Arkansas
Male,014,9999999,New York
Male,025,0026000,North Carolina
Female,021,0004000,Tennessee
Female,005,9999999,Georgia
Female,053,0000000,Alabama
Male,027,0100000,New York
Female,054,0009100,New York
Male,021,0020000,California
Female,047,0065000,New Jersey
Male,030,0045000,Florida
Male,003,9999999,Pennsylvania
Male,012,9999999,North Dakota
Female,071,0024100,Florida
Female,076,0005500,Illinois
Male,024,0027000,Oklahoma
Male,065,0079000,Florida
Female,075,0015400,Virginia
Male,068,0009100,Texas
Female,014,9999999,Missouri
Female,021,0005400,California
Female,060,0009000,Pennsylvania
Female,009,9999999,Illinois
Female,072,0112400,New Hampshire
Male,027,0041000,Iowa
Female,057,0000000,Georgia
Female,059,0058000,California
Female,036,0015600,Rhode Island
Female,071,0036800,New York
Male,064,0040000,Utah
Female,046,0160000,Texas
Female,041,0000000,Nevada
Male,057,0046040,Arizona
Male,009,9999999,Tennessee
Female,037,0045000,Illinois
Female,049,0005000,California
Male,078,0090000,Illinois
Female,032,0000000,Louisiana
Male,025,0000000,California
Female,088,0022000,Washington
Male,050,0009300,New Jersey
Female,045,0000000,Texas
Female,042,0005000,Ohio
Male,055,0000000,North Carolina
Female,007,9999999,Minnesota
Male,002,9999999,Minnesota
Male,038,0027000,Virginia
Male,045,0026000,Texas
Male,004,9999999,Colorado
Female,060,0012000,Texas
Female,028,0045700,Nevada
Male,059,0050000,Pennsylvania
Female,053,0025000,Delaware
Male,015,0000000,Ohio
Male,013,9999999,Texas
Male,025,0056000,Texas
Female,059,0028600,Minnesota
Female,043,0031000,Oregon
Female,079,0029000,Michigan
Male,061,0006500,North Dakota
Male,031,0067000,Georgia
Female,016,0000000,Washington
Female,023,0000000,New Mexico
Female,060,0074000,Pennsylvania
Male,061,0070000,Michigan
Male,026,0001200,Pennsylvania
Male,042,0080000,Texas
Female,032,0010000,Georgia
Female,001,9999999,Indiana
Male,038,0040000,Maryland
Male,073,0063100,California
Male,059,0080500,California
Male,062,0176000,Georgia
Male,070,0060000,Florida
Male,064,0001600,Arizona
Male,063,0075000,Ohio
Male,023,0000000,Louisiana
Female,072,0020400,Indiana
Male,025,0007000,Indiana
Female,054,0050000,Michigan
Male,039,0024000,Georgia
Female,065,0010000,Wisconsin
Male,011,9999999,Minnesota
Female,077,0015000,South Dakota
Female,046,0000000,Massachusetts
Female,002,9999999,Minnesota
Female,010,9999999,California
Female,013,9999999,Nebraska
Female,080,0021000,Michigan
Male,018,0000000,Florida
Male,040,0070000,California
Male,033,0160000,Pennsylvania
Female,008,9999999,Oklahoma
Male,054,0026000,Texas
Male,004,9999999,California
Male,001,9999999,Georgia
Female,011,9999999,Ohio
Female,058,0113100,Maryland
Female,065,0093000,New York
Female,046,0076000,Arizona
Male,077,0010700,Washington
Female,021,0035400,Tennessee
Male,011,9999999,Texas
Female,078,0015600,Minnesota
Female,029,0080000,Texas
Male,039,0032000,South Carolina
Male,021,0000000,Georgia
Male,018,0001520,Arizona
Female,070,0009700,California
Male,011,9999999,New Jersey
Female,029,0065000,Virginia
Male,032,0045000,New Mexico
Female,053,0065000,California
Female,051,0039000,New Jersey
Male,004,9999999,New Jersey
Female,000,9999999,Pennsylvania
Female,024,0000000,New Jersey
Female,055,0009300,Georgia
Male,020,0000000,Mississippi
Male,007,9999999,Texas
Male,070,0111200,California
Male,051,0030000,Virginia
Female,025,0032800,Tennessee
Male,069,0110000,Minnesota
Female,062,0012300,Florida
Male,033,0001500,Michigan
Male,071,0048500,South Carolina
Male,004,9999999,Maryland
Male,016,0000000,California
Female,025,0055000,Florida
Female,004,9999999,New York
Male,013,9999999,Ohio
Female,018,0000000,Georgia
Female,037,0060000,California
Male,060,0063000,New Jersey
Female,027,0065000,California
Male,024,0002000,New York
Male,022,0020200,Tennessee
Female,018,0000000,Nevada
Male,076,0037240,Illinois
Female,013,9999999,Missouri
Male,049,0020000,Pennsylvania
Female,068,0020000,New York
Male,021,0015000,Texas
Female,091,0030700,New Jersey
Male,041,0070400,California
Male,066,0009100,Georgia
Male,024,0010000,New Mexico
Female,017,0000000,Arkansas
Male,065,0082400,Oregon
Female,000,9999999,California
Female,062,0065000,Kansas
Male,020,0008400,California
Male,084,0013200,Montana
Female,011,9999999,Maryland
Male,035,0000000,California
Male,024,0030000,New York
Female,068,0017100,Georgia
Female,038,0045800,Washington
Male,077,0067900,Washington
Female,038,0045000,California
Male,078,0043500,Louisiana
Female,012,9999999,New Jersey
Male,048,0000000,Florida
Male,020,0013500,Michigan
Female,064,0080200,Ohio
Male,016,0002400,New Jersey
Male,039,0036000,Maine
Female,074,0014700,Texas
Female,047,0037000,Massachusetts
Female,056,0013200,Maryland
Female,001,9999999,Ohio
Female,077,0015700,New Jersey
Female,037,0000810,Georgia
Male,049,0000000,Texas
Female,001,9999999,Ohio
Male,076,0042900,Virginia
Male,033,0104000,New York
Female,054,0030000,Ohio
Male,075,0011670,Louisiana
Male,015,0000000,Minnesota
Male,005,9999999,Texas
Female,061,0002940,Virginia
Female,020,0026700,Iowa
Male,061,0060000,Tennessee
Female,029,0000000,Texas
Male,013,9999999,Minnesota
Female,020,0001000,Washington
Male,022,0020400,Texas
Male,024,0032000,North Carolina
Female,063,0007000,California
Male,008,9999999,Colorado
Female,000,9999999,Kansas
Female,018,0003100,Pennsylvania
Female,018,0000500,New Jersey
Male,016,0000000,Illinois
Female,020,0020000,Texas
Female,045,0025000,Kentucky
Female,044,0018000,Utah
Female,056,0059000,North Dakota
Female,014,9999999,Texas
Female,025,0000000,Virginia
Male,047,0276500,New Jersey
Female,001,9999999,Texas
Male,059,0000000,Texas
Female,071,0026600,Virginia
Female,016,0000000,Rhode Island
Male,051,0000050,New York
Female,037,0017100,Massachusetts
Female,074,0007000,New York
Male,034,0000000,Texas
Female,069,0010300,Oklahoma
Male,064,0200000,New Jersey
Male,060,0066000,Washington
Female,089,0005900,Maryland
Female,054,0045000,Illinois
Male,047,0560000,Illinois
Male,012,9999999,Minnesota
Male,077,0018000,New York
Male,075,0146600,Arizona
Female,066,0041100,Michigan
Female,034,0028000,New Mexico
Female,034,0027000,Alabama
Male,054,0115000,Massachusetts
Male,078,0029800,California
Male,009,9999999,North Carolina
Female,036,0155000,Colorado
Male,018,0002500,New Mexico
Female,038,0069200,New York
Female,014,9999999,Virginia
Female,089,0024000,West Virginia
Male,077,0020500,Ohio
Male,047,0028000,Virginia
Female,038,0012000,Minnesota
Male,076,0020000,Massachusetts
Male,059,0035000,Florida
Male,018,0050000,Nevada
Male,033,0050000,Nebraska
Male,050,0009000,Tennessee
Female,001,9999999,Rhode Island
Male,086,0000000,California
Female,062,0110000,Michigan
Female,062,0019200,Texas
Female,052,0000000,Florida
Female,084,0021800,New York
Male,045,0026000,Texas
Male,005,9999999,Florida
Female,004,9999999,Ohio
Male,053,0060000,Michigan
Female,004,9999999,Ohio
Male,024,0022900,New York
Male,031,0016000,New York
Male,025,0020000,Nevada
Female,058,0015600,Louisiana
Female,031,0076000,New Jersey
Female,055,0028000,Georgia
Male,056,0071000,Indiana
Male,029,0073000,Missouri
Female,055,0015000,Oregon
Female,008,9999999,Missouri
Male,022,0002000,Texas
Male,067,0015000,Pennsylvania
Female,022,0004200,Texas
Female,069,0012000,Arizona
Male,023,0065000,Idaho
Female,057,0155100,Florida
Male,042,0075000,Alabama
Female,040,0000000,New Jersey
Male,005,9999999,Minnesota
Female,037,0016000,Indiana
Male,016,0000000,California
Female,068,0057430,Georgia
Male,069,0039000,Alabama
Female,066,0000000,Colorado
Male,057,0030000,Illinois
Male,013,9999999,Tennessee
Male,028,0022000,Georgia
Male,036,0024000,Oklahoma
Male,062,0075000,New Mexico
Male,057,0025100,New York
Female,036,0000000,California
Female,082,0047900,Wisconsin
Female,002,9999999,California
Male,068,0060200,Virginia
Female,013,9999999,North Carolina
Male,022,0020100,Texas
Male,032,0021000,Ohio
Female,008,9999999,Tennessee
Female,029,0000000,California
Female,052,0040000,Georgia
Female,028,0044000,Indiana
Male,029,0000000,Florida
Female,021,0010700,North Carolina
Female,071,0005400,New York
Male,053,0000000,West Virginia
Female,062,0061000,Kentucky
Male,001,9999999,Utah
Male,056,0086000,New Jersey
Female,079,0010500,New York
Male,043,0134000,District of Columbia
Male,025,0002000,Florida
Male,070,0014430,Texas
Female,003,9999999,Massachusetts
Female,073,0032350,Florida
Male,016,0000000,California
Male,063,0060000,Florida
Male,058,0030000,California
Male,020,0001700,New Mexico
Male,014,9999999,Georgia
Female,024,0014100,Texas
Female,085,0000000,California
Female,009,9999999,Pennsylvania
Female,017,0000000,Michigan
Male,024,0006000,Maine
Male,024,0000130,Arizona
Male,065,0027000,South Carolina
Male,035,0013000,Oklahoma
Male,080,0024000,Florida
Male,027,0060000,Washington
Female,077,0008000,Florida
Female,048,0000000,North Dakota
Female,094,0004300,Alabama
Male,042,0024000,Illinois
Female,012,9999999,Ohio
Female,027,0019400,Florida
Female,059,0000000,Ohio
Male,024,0028000,Nevada
Female,029,0041000,Georgia
Female,032,0030000,Nebraska
Female,013,9999999,Texas
Male,019,0008300,Arizona
Male,076,0016000,New Mexico
Female,008,9999999,Florida
Male,051,0083000,Nevada
Male,056,0200000,Michigan
Male,040,0010000,Virginia
Female,035,0056000,Ohio
Female,073,0032350,Florida
Male,052,0165500,Maryland
Female,070,0049500,California
Male,044,0000000,Texas
Male,049,0030000,Idaho
Male,050,0009300,New Jersey
Male,021,0000000,North Carolina
Female,043,0000000,California
Female,048,0009100,West Virginia
Female,001,9999999,North Carolina
Male,023,0050000,California
Female,075,0012250,North Carolina
Female,031,0012000,Wisconsin
Male,045,0090000,New York
Female,095,0017520,Florida
Female,015,0000000,Florida
Male,025,0036000,Montana
Female,033,0022000,Virginia
Male,030,0093000,New York
Female,053,0040000,Florida
Male,056,0098000,New York
Female,038,0069200,New York
Female,030,0055000,Colorado
Female,047,0000000,California
Female,006,9999999,New York
Male,070,0139200,Washington
Female,006,9999999,Colorado
Female,024,0034400,Texas
Male,022,0020400,Texas
Female,009,9999999,New Jersey
Female,072,0012800,California
Male,017,0002500,Florida
Female,013,9999999,Nebraska
Female,077,0022700,California
Female,056,0060000,Massachusetts
Male,040,0010000,Virginia
Female,024,0000000,New Jersey
Male,009,9999999,New York
Female,017,0000000,California
Male,060,0000000,New York
Female,017,0000000,Michigan
Female,073,0014000,Michigan
Male,054,0090000,California
Female,013,9999999,Kansas
Female,083,0011600,California
Male,016,0000900,Minnesota
Female,054,0008100,Kentucky
Female,005,9999999,Illinois
Male,077,0016800,Massachusetts
Female,029,0010000,New Jersey
Female,018,0034000,New Jersey
Female,006,9999999,Indiana
Female,032,0006600,California
Male,029,0040000,Massachusetts
Male,052,0002300,Florida
Male,042,0120000,Idaho
Female,042,0025000,Texas
Male,052,0014000,New York
Female,007,9999999,California
Male,031,0063000,Ohio
Female,068,0039000,West Virginia
Male,058,0044000,California
Female,076,0018100,Ohio
Female,019,0001000,Maryland
Female,048,0029000,Florida
Female,034,0017000,Texas
Female,091,0000000,Pennsylvania
Male,027,0025300,California
Male,034,0044000,Michigan
Male,061,0000100,Illinois
Female,021,0009600,Oregon
Female,047,0051200,Missouri
Female,072,0043300,Washington
Male,022,0000000,Washington
Female,000,9999999,Arizona
Female,040,0025000,Texas
Female,041,0000000,South Carolina
Male,007,9999999,California
Female,064,0008800,Florida
Female,046,0039000,Florida
Female,037,0018000,California
Female,066,0016800,Illinois
Female,036,0070000,Illinois
Male,094,0034000,Michigan
Female,024,0000000,California
Female,048,0010000,Texas
Male,056,0105000,Massachusetts
Male,006,9999999,Michigan
Male,003,9999999,Arizona
Male,071,0005600,California
Male,051,0150000,Florida
Male,004,9999999,Florida
Male,055,0038000,Colorado
Male,069,0021600,Florida
Female,055,0009300,Georgia
Male,031,0008800,Illinois
Male,048,0098000,Oregon
Male,081,0068600,Nevada
Female,081,0008120,Pennsylvania
Male,013,9999999,New York
Female,076,0010300,Kentucky
Male,048,0043500,Pennsylvania
Male,035,0080000,Massachusetts
Male,023,0020000,Florida
Male,015,0000000,California
Male,076,0012300,Texas
Male,029,0000680,New York
Male,064,0008800,Florida
Female,041,0000000,Georgia
Female,002,9999999,New York
Female,063,0017700,Massachusetts
Male,033,0007300,Mississippi
Female,057,0007000,Idaho
Male,050,0014000,Florida
Male,016,0000000,California
Female,075,0030600,Michigan
Male,025,0021000,Ohio
Male,064,0013900,California
Female,050,0017800,Louisiana
Male,058,0163200,California
Male,055,0040000,Minnesota
Female,003,9999999,Nevada
Female,064,0008600,Kentucky
Female,083,0003900,New York
Female,021,0000000,Mississippi
Male,041,0250000,Texas
Male,029,0009500,Oregon
Male,048,0025100,New York
Female,094,0000000,Pennsylvania
Male,036,0045000,Tennessee
Female,024,0011900,Florida
Female,005,9999999,New Jersey
Male,061,0048020,Ohio
Male,075,0102000,Illinois
Female,055,0022480,Pennsylvania
Male,028,0012000,Arizona
Male,041,0018500,Florida
Female,081,0010500,Florida
Male,036,0001400,Pennsylvania
Male,036,0058000,Virginia
Male,059,0020000,Wisconsin
Male,045,0026000,Texas
Female,053,0027300,Pennsylvania
Female,028,0050600,Hawaii
Female,070,0022300,Georgia
Female,079,0013900,Alabama
Female,054,0638030,New York
Female,012,9999999,Florida
Female,038,0000000,Washington
Female,056,0045000,Texas
Male,037,0071000,Georgia
Female,063,0000830,Ohio
Male,078,0012400,Washington
Female,088,0019800,Alabama
Female,062,0045900,Michigan
Male,070,0022700,Ohio
Male,058,0013700,Pennsylvania
Female,035,0036000,California
Male,022,0056000,Illinois
Female,068,0042300,Pennsylvania
Female,075,0017200,California
Male,050,0020000,Texas
Male,048,0140000,California
Female,016,0000000,New York
Female,000,9999999,Arizona
Male,034,0028000,Connecticut
Male,010,9999999,North Carolina
Female,055,0003900,Mississippi
Male,010,9999999,Pennsylvania
Female,060,0000000,Texas
Male,010,9999999,Connecticut
Male,078,0045600,North Carolina
Male,064,0024000,Missouri
Female,003,9999999,Michigan
Female,069,0021800,Arizona
Female,060,0000000,Illinois
Male,022,0012000,Oregon
Female,077,0006700,Illinois
Female,063,0007000,Alabama
Female,025,0000000,Indiana
Male,074,0024000,Louisiana
Male,032,0060000,Virginia
Male,022,0015000,Nevada
Male,033,0025400,Texas
Female,014,9999999,California
Female,002,9999999,Connecticut
Male,051,0200000,New York
Male,062,0000000,Florida
Male,047,0000000,California
Male,033,0047000,Illinois
Female,016,0001200,Georgia
Female,007,9999999,Minnesota
Female,018,0000000,Missouri
Female,012,9999999,Tennessee
Male,008,9999999,New York
Female,010,9999999,Texas
Male,030,0028000,Louisiana
Female,002,9999999,Georgia
Female,033,0038000,Virginia
Female,073,0027100,California
Male,067,0026900,California
Female,022,0022100,Texas
Female,052,0055000,Kentucky
Male,023,0030050,Delaware
Female,032,0030000,Illinois
Female,053,0065000,California
Female,072,0028000,West Virginia
Male,066,0000000,Indiana
Male,029,0015800,Colorado
Male,046,0053000,Indiana
Male,044,0215000,Ohio
Female,019,0012000,Texas
Male,054,0075000,Massachusetts
Male,003,9999999,New York
Male,059,0000000,Pennsylvania
Female,045,0024000,California
Male,002,9999999,Tennessee
Female,060,0083000,California
Male,060,0000000,Arizona
Female,014,9999999,Kentucky
Male,032,0009500,California
Male,042,0045050,Illinois
Male,051,0007300,Washington
Male,036,0130000,Virginia
Female,047,0012500,Idaho
Male,041,0045000,North Carolina
Male,054,0065000,California
Female,050,0020000,Minnesota
Male,044,0111000,Florida
Male,053,0015000,Alabama
Female,030,0006600,Washington
Male,012,9999999,California
Female,020,0032000,Arizona
Female,068,0032400,Illinois
Male,050,0085000,Louisiana
Male,053,0037500,Texas
Female,012,9999999,Utah
Female,072,0013700,Texas
Female,095,0009000,Florida
Female,069,0041400,New York
Female,014,9999999,California
Female,017,0000000,South Carolina
Male,033,0120000,New Jersey
Female,058,0028900,Ohio
Male,030,0024000,Minnesota
Female,078,0022000,Mississippi
Male,046,0203000,Florida
Female,007,9999999,Colorado
Female,021,0014000,New York
Male,016,0000000,Virginia
Male,054,0019900,Massachusetts
Female,031,0041000,Indiana
Female,056,0145000,Minnesota
Male,019,0004000,Louisiana
Male,028,0033700,Alabama
Female,083,0007200,Washington
Female,001,9999999,West Virginia
Male,079,0059300,Michigan
Male,007,9999999,Maryland
Female,026,0016000,Texas
Male,041,0050000,Minnesota
Female,049,0039000,Texas
Female,002,9999999,Virginia
Male,049,0092000,Georgia
Male,073,0021110,Indiana
Male,029,0000000,District of Columbia
Female,047,0037000,Massachusetts
Male,005,9999999,Minnesota
Male,070,0006300,Michigan
Male,044,0074000,Michigan
Male,085,0038300,Kentucky
Male,018,0006000,Kentucky
Female,063,0007000,Alabama
Male,023,0015000,Louisiana
Male,004,9999999,Missouri
Male,008,9999999,Virginia
Female,016,0000000,Oregon
Male,031,0040000,New York
Male,008,9999999,New York
Male,017,0000000,New Jersey
Male,015,0000000,Kentucky
Female,029,0046000,Nebraska
Male,056,0000000,Ohio
Male,041,0028000,California
Male,024,0015000,Georgia
Male,011,9999999,Tennessee
Male,015,0000000,Minnesota
Female,043,0000000,California
Male,014,9999999,Mississippi
Male,009,9999999,Pennsylvania
Male,006,9999999,Texas
Male,055,0060000,Tennessee
Male,030,0032000,Minnesota
Female,050,0078500,Texas
Female,018,0000000,Illinois
Female,008,9999999,Missouri
Female,016,0000000,Washington
Male,075,0086800,Arizona
Female,024,0020000,Texas
Female,000,9999999,Michigan
Male,050,0035100,New York
Male,014,9999999,Missouri
Male,068,0042100,South Carolina
Male,052,0094000,California
Female,034,0064000,Minnesota
Male,035,0016000,California
Female,021,0004000,Michigan
Female,032,0042000,California
Female,028,0015000,Mississippi
Female,052,0009100,Pennsylvania
Male,018,0003000,California
Male,047,0042000,California
Female,011,9999999,Pennsylvania
Female,047,0054000,North Carolina
Male,060,0030000,Colorado
Female,016,0001500,California
Female,053,0056000,Georgia
Female,007,9999999,Virginia
Male,047,0055000,Texas
Male,060,0022000,Indiana
Female,066,0022400,Tennessee
Female,006,9999999,Minnesota
Male,086,0010400,North Carolina
Female,064,0009500,Michigan
Male,033,0084000,Florida
Female,032,0000000,Florida
Male,032,0088000,California
Female,060,0008000,Arkansas
Female,028,0015600,Oklahoma
Male,023,0003000,Texas
Female,062,0054000,New York
Male,045,0080000,New York
Female,011,9999999,Kentucky
Female,046,0050000,Minnesota
Male,011,9999999,Kentucky
Male,021,0000000,Nevada
Male,039,0006600,California
Female,076,0033100,Oklahoma
Female,021,0019000,Iowa
Female,062,0056000,New York
Male,063,0250300,Georgia
Male,063,0123020,California
Male,042,0020800,Indiana
Male,032,0050000,New York
Female,018,0030000,Alabama
Male,044,0507460,Nevada
Male,051,0058000,New York
Male,063,0070000,Illinois
Female,040,0099000,New York
Male,022,0002000,New York
Female,074,0016300,Georgia
Female,019,0000000,Texas
Female,048,0027000,Michigan
Female,045,0008500,North Carolina
Male,037,0370000,Oklahoma
Male,045,0020900,Kentucky
Male,000,9999999,New York
Female,073,0052800,California
Female,067,0009000,Montana
Female,057,0048000,California
Male,000,9999999,New Jersey
Male,021,0001600,Virginia
Female,004,9999999,Florida
Male,019,0020000,Virginia
Female,055,0008000,Indiana
Female,038,0000000,Arizona
Female,042,0000000,California
Female,037,0031000,Texas
Male,059,0067000,Nevada
Male,070,0008900,Pennsylvania
Female,058,0506000,Maryland
Male,034,0111000,Georgia
Female,043,0039000,Michigan
Female,005,9999999,Arizona
Male,000,9999999,California
Male,025,0028000,Pennsylvania
Male,005,9999999,California
Female,048,0051000,Florida
Male,009,9999999,Arizona
Female,044,0060000,Indiana
Male,012,9999999,Pennsylvania
Male,037,0080000,Maryland
Female,023,0025030,Indiana
Male,002,9999999,Connecticut
Male,022,0000000,New York
Female,075,0006000,North Carolina
Female,030,0051000,Georgia
Male,000,9999999,Michigan
Male,027,0050000,California
Female,070,0020900,South Carolina
Male,060,0042700,South Carolina
Female,032,0045000,Virginia
Male,027,0035000,California
Male,040,0014000,Louisiana
Female,039,0010000,Illinois
Male,063,0000000,Florida
Female,057,0056000,New York
Male,047,0120500,Maryland
Male,050,0280000,California
Male,010,9999999,Texas
Male,020,0000800,Missouri
Male,062,0225000,Florida
Male,059,0080000,New Jersey
Male,036,0038000,Florida
Male,086,0037000,West Virginia
Female,067,0037700,Tennessee
Female,024,0024000,Washington
Female,041,0024000,Ohio
Male,012,9999999,California
Female,088,0012900,Louisiana
Male,068,0007200,New York
Male,040,0030000,California
Female,025,0010000,Alabama
Male,065,0030000,Ohio
Male,070,0017100,Missouri
Male,067,0017700,Pennsylvania
Male,002,9999999,Texas
Female,018,0000000,California
Male,067,0037500,Minnesota
Female,007,9999999,Florida
Male,017,0000000,Illinois
Female,089,0027600,Pennsylvania
Female,026,0000000,Louisiana
Female,042,0000000,New York
Female,072,0010100,Texas
Female,035,0000000,Florida
Female,030,0014400,Missouri
Male,064,0042100,Arkansas
Female,020,0000000,California
Female,013,9999999,California
Female,027,0040000,California
Male,021,0000000,North Carolina
Male,070,0029000,New York
Female,082,0037000,Florida
Female,026,0042000,Wisconsin
Female,048,0045000,Massachusetts
Female,025,0049000,New York
Female,049,0045000,California
Male,035,0106000,Washington
Male,066,0060000,Illinois
Male,007,9999999,Pennsylvania
Female,013,9999999,California
Male,042,0120000,Idaho
Female,078,0023400,Indiana
Male,018,0000400,Florida
Male,042,0064180,Kentucky
Male,059,0140000,Pennsylvania
Male,075,0013400,North Carolina
Female,059,0065000,Nebraska
Male,024,0027000,Oklahoma
Female,005,9999999,Idaho
Male,022,0000000,New York
Male,059,0140000,Pennsylvania
Male,051,0030000,Virginia
Male,018,0010000,Massachusetts
Female,010,9999999,California
Male,038,0050000,New Jersey
Female,061,0070000,Virginia
Male,063,0045600,Delaware
Female,025,0015000,Florida
Male,060,0074500,Massachusetts
Male,074,0043600,Utah
Male,043,0026000,Ohio
Male,030,0023400,Texas
Female,009,9999999,Indiana
Male,045,0028000,Virginia
Male,045,0140000,Wisconsin
Male,080,0000000,New Jersey
Female,053,0023000,Massachusetts
Female,067,0014400,Texas
Male,015,0000000,Oregon
Male,002,9999999,Indiana
Male,005,9999999,California
Male,056,0099200,Ohio
Male,018,0000000,Pennsylvania
Female,061,0055000,Louisiana
Female,075,0007800,Texas
Female,039,0016000,Maryland
Male,052,0105060,New Hampshire
Male,038,0092000,Illinois
Male,031,0019000,Oklahoma
Female,043,0040000,Florida
Male,064,0257900,Ohio
Male,024,0003000,Pennsylvania
Male,015,0000000,Utah
Male,032,0103000,Georgia
Male,063,0012000,Pennsylvania
Female,050,0017800,Louisiana
Male,072,0076400,Utah
Female,027,0042000,Michigan
Female,016,0000000,Hawaii
Male,048,0084000,Pennsylvania
Male,063,0032220,Iowa
Female,056,0010000,New York
Male,075,0010000,Arizona
Female,067,0007300,New York
Male,014,9999999,New York
Female,087,0047000,Florida
Male,026,0001200,Pennsylvania
Male,033,0081000,Illinois
Male,039,0000000,California
Male,027,0102000,Michigan
Male,012,9999999,Texas
Male,048,0009400,Ohio
Male,053,0012000,Florida
Male,083,0000000,Pennsylvania
Female,063,0036000,Georgia
Female,007,9999999,North Carolina
Female,002,9999999,Maine
Male,065,0005600,Florida
Male,025,0084000,Florida
Male,042,0072000,Alabama
Female,051,0000000,Tennessee
Female,071,0026800,Virginia
Female,044,0078000,Pennsylvania
Male,009,9999999,Iowa
Male,008,9999999,Maryland
Male,049,0083000,Pennsylvania
Male,015,0001700,New York
Female,072,0033300,California
Female,056,0060000,Tennessee
Male,045,0107200,Connecticut
Male,050,0014000,Florida
Male,011,9999999,Tennessee
Female,036,0021900,Pennsylvania
Male,065,0043000,Connecticut
Male,055,0040000,Minnesota
Female,027,0075000,Arizona
Female,032,0008800,South Dakota
Female,045,0012000,Tennessee
Male,049,0068000,Maine
Male,084,0029000,Nebraska
Male,009,9999999,Texas
Female,033,0007400,California
Male,022,0020000,West Virginia
Female,086,0025000,New York
Male,039,0040000,Louisiana
Female,053,0011700,Wisconsin
Female,047,0003000,Delaware
Female,026,0009000,Ohio
Male,026,0020000,Texas
Female,008,9999999,Louisiana